a52dec 0.7.4-8
aalib 1.4rc5-12
accerciser 3.14.0-3
accountsservice 0.6.40-2
acl 2.2.52-2
acpi 1.7-1
acpid 2.0.27-1
adwaita-icon-theme 3.20-2
aisleriot 3.20.2-1
alsa-firmware 1.0.29-1
alsa-lib 1.1.1-1
alsa-plugins 1.1.1-1
alsa-utils 1.1.1-1
anjuta 3.20.0-1
apache 2.4.20-1
apache-ant 1.9.7-1
apr 1.5.2-1
apr-util 1.5.4-2
arandr 0.1.9-1
archlinux-keyring 20160402-1
arp-scan 1.9-2
aspell 0.60.6.1-5
aspell-en 2016.01.19-1
at-spi2-atk 2.20.1-1
at-spi2-core 2.20.2-1
atk 2.20.0-1
atkmm 2.24.2-2
atomix 3.20.0-1
attica-qt4 0.4.2-3
attr 2.4.47-1
audiofile 0.3.6-3
autoconf 2.69-3
autogen 5.18.7-1
automake 1.15-1
avahi 0.6.32-2
awesome 3.5.9-1
b43-fwcutter 019-1
babl 0.1.14-1
baobab 3.20.1-1
bash 4.3.042-4
bc 1.06.95-2
bijiben 3.20.2-1
bind-tools 9.10.4.P1-1
binutils 2.26-4
bison 3.0.4-2
blueman 2.0.4-1
bluez 5.39-1
bluez-libs 5.39-1
bmenu 0.4.3-1
boost-libs 1.60.0-5
brandr 0.2-3
brasero 3.12.1-1
brltty 5.3.1.77.g59d35f9-1
btrfs-progs 4.5.1-1
bumblebee 3.2.1-13
bzip2 1.0.6-5
ca-certificates 20160507-1
ca-certificates-cacert 20140824-3
ca-certificates-mozilla 3.23-4
ca-certificates-utils 20160507-1
cairo 1.14.6-1
cairomm 1.12.0-2
calibre 2.56.0-1
cantarell-fonts 1:0.0.24-1
caribou 0.4.20-1
cdparanoia 10.2-5
cdrdao 1.2.3-8
cdrkit 1.1.11-3
celt 0.11.3-2
celt0.5.1 0.5.1.3-3
cheese 3.20.2-1
chmlib 0.40-4
chromaprint 1.3.1-1
chromium 50.0.2661.102-1
cifs-utils 6.5-1
ckbcomp 1.120-1
clang 3.8.0-1
clucene 2.3.3.4-9
clutter 1.26.0-1
clutter-gst 3.0.18-1
clutter-gst2 2.0.18-1
clutter-gtk 1.8.0-1
cmark 0.25.2-1
cogl 1.22.0-1.5
colord 1.3.2-2
colord-gtk 0.1.26-2
compositeproto 0.4.2-3
compton 0.1_beta2.5-3
confuse 2.8-2
coreutils 8.25-2
cpupower 4.6-1
cracklib 2.9.6-1
crda 3.18-1
cronie 1.5.0-1
cryptsetup 1.7.1-1
ctags 5.8-5
cups 2.1.3-2
cups-filters 1.8.3-2
cups-pdf 2.6.1-2
cups-pk-helper 0.2.6-1
curl 7.48.0-1
cython 0.24-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.8-1
dbus-glib 0.106-1
dcadec 0.2.0-1
dconf 0.26.0-1
dconf-editor 3.20.2-1
desktop-file-utils 0.22-2
devhelp 3.20.0-1
device-mapper 2.02.150-1
dex 0.7-1
dhclient 4.3.4-2
dhcpcd 6.10.3-1
diffutils 3.3-3
ding-libs 0.5.0-1
djvulibre 3.5.27-3
dkms 2.2.0.3-16
dleyna-connector-dbus 0.2.0-2
dleyna-core 0.5.0-1
dleyna-renderer 0.5.0-1
dleyna-server 0.5.0-1
dmidecode 3.0-1
dmraid 1.0.0.rc16.3-10
dmxproto 2.3.1-3
dnsmasq 2.75-1
dnssec-anchors 20150403-1
docbook-xml 4.5-6
docbook-xsl 1.79.1-1
dosfstools 4.0-3
dotconf 1.3-4
downgrade 5.2.3-1
dropbox 3.20.1-1
dvd+rw-tools 7.1-7
e2fsprogs 1.42.13-1
ecryptfs-utils 108-2
efibootmgr 0.12.25.g75d2580-1
efitools 1.7.0.3.g791e463-1
efivar 0.23.30.gc5685d8-1
elfutils 0.166-1
elinks 0.13-16
emacs 24.5-3
empathy 3.12.12-1
enca 1.18-1
enchant 1.6.0-7
eog 3.20.2-1
espeak 1.48.15.r585.g26ecf79-1
ethtool 1:4.5-1
evince 3.20.0-2
evolution 3.20.2-1
evolution-data-server 3.20.2-1
evolution-ews 3.20.2-1
exempi 2.3.0-1
exfat-utils 1.2.3-2
exiv2 0.25-3
expat 2.1.1-2
f2fs-tools 1.6.1-1
faac 1.28-5
faad2 2.7-4
faba-icon-theme 20150802-1
fakeroot 1.20.2-1
farstream 0.2.8-1
feh 2.15.3-1
ffmpeg 1:3.0.2-2
ffmpeg0.10 0.10.16-1
ffmpeg2.8 2.8.7-1
fftw 3.3.4-2
file 5.26-2
file-roller 3.20.2-1
filesystem 2015.09-1
findutils 4.6.0-1
firefox 46.0.1-1
firefox-i18n-en-us 46.0.1-1
five-or-more 3.20.0-1
fixesproto 5.0-3
flac 1.3.1-3
flashplugin 11.2.202.621-1
flex 2.6.0-3
fluidsynth 1.1.6-4
folks 0.11.2-1
fontconfig 2.11.95-1
fontsproto 2.1.3-1
foomatic-db-engine 4:4.0.12-2
four-in-a-row 3.20.1-1
freeglut 3.0.0-1
freerdp 1:1.2.0_20160107-6
freetype2 2.6.3-1
fribidi 0.19.7-1
fuse 2.9.6-1
fuseiso 20070708-6
fzf 0.12.1-1
gamin 0.1.10-8
gawk 4.1.3-1
gc 7.4.2-4
gcc-libs-multilib 6.1.1-1
gcc-multilib 6.1.1-1
gconf 3.2.6-4
gconfmm 2.28.3-3
gcr 3.20.0-1
gd 2.1.1-4
gdbm 1.11-1
gdk-pixbuf2 2.34.0-2
gdl 3.20.0-1
gdm 3.20.1-1
gedit 3.20.2-1
gedit-code-assistance 3.16.0-1
gegl 0.3.6-1
gegl02 0.2.0-4
geoclue2 2.4.3-1
geocode-glib 3.20.1-2
geoip 1.6.6-2
geoip-database 20160301-2
gettext 0.19.7-1
gfbgraph 0.2.3-1
ghc 7.10.3-1
ghostscript 9.19-1
giblib 1.2.4-6
giflib 5.1.4-1
gimp 2.8.16-1
git 2.8.2-1
git-annex 6.20160511-3
gitg 3.20.0-2
gjs 1.45.3-1
gksu 2.0.2-5
glade 3.20.0-1
glew 1.13.0-1
glib-networking 2.48.2-1
glib2 2.48.1-1
glibc 2.23-4
glibmm 2.48.1-1
glu 9.0.0-4
gmime 2.6.20-2
gmp 6.1.0-4
gnome-2048 3.20.2-1
gnome-backgrounds 3.20-1
gnome-bluetooth 3.18.3-1
gnome-builder 3.20.4-2
gnome-calculator 3.20.1-1
gnome-calendar 3.20.2-1
gnome-characters 3.20.1-1
gnome-chess 3.20.1-1
gnome-clocks 3.20.1-1
gnome-code-assistance 3.16.0-4
gnome-color-manager 3.20.0-1
gnome-contacts 3.20.0-1
gnome-control-center 3.20.1-1
gnome-desktop 1:3.20.2-1
gnome-devel-docs 3.20.2-1
gnome-dictionary 3.20.0-1
gnome-disk-utility 3.20.2-1
gnome-documents 3.20.0-1
gnome-font-viewer 3.20.2-1
gnome-getting-started-docs 3.20.0-1
gnome-keyring 1:3.20.0-1
gnome-klotski 3.20.2-1
gnome-logs 3.20.1-1
gnome-mahjongg 3.20.0-1
gnome-maps 3.20.1-1
gnome-menus 3.13.3-2
gnome-mime-data 2.18.0-7
gnome-mines 3.20.0-1
gnome-music 3.20.2-1
gnome-nettool 3.8.1-2
gnome-nibbles 3.20.2.1-1
gnome-online-accounts 3.20.1-1
gnome-online-miners 3.20.0-1
gnome-photos 3.20.1-1
gnome-robots 3.20.2-1
gnome-screenshot 3.18.0-1
gnome-session 3.20.1-1
gnome-settings-daemon 3.20.1-1
gnome-shell 3.20.2-1
gnome-shell-extension-dash-to-dock 53-1
gnome-shell-extension-gnomenu 19-1
gnome-shell-extension-mediaplayer r553.2cb5d6d-1
gnome-shell-extension-openweather 1.0.r57.gb6b3bff-1
gnome-shell-extensions 3.20.1-1
gnome-sound-recorder 3.20.2-1
gnome-sudoku 3.20.1-1
gnome-system-log 3.9.90-1
gnome-system-monitor 3.20.1-1
gnome-taquin 3.20.2-1
gnome-terminal 3.20.2-1
gnome-tetravex 3.20.0-1
gnome-themes-standard 3.20.2-1
gnome-tweak-tool 3.20.1-1
gnome-user-docs 3.20.2-1
gnome-user-share 3.18.1-2
gnome-vfs 2.24.4-9
gnome-vfsmm 2.26.0-4
gnome-video-effects 0.4.1-1
gnome-wallpapers 20160321-1
gnome-weather 3.20.1-1
gnupg 2.1.12-2
gnutls 3.4.11-2
gnutls28 3.3.19-1
gobject-introspection 1.48.0-1
gobject-introspection-runtime 1.48.0-1
gom 0.3.2-1
goocanvas 2.0.2-1
gparted 0.26.0-1
gperftools 2.5-1
gpgme 1.6.0-2
gpm 1.20.7-6
graphene 1.4.0-1
graphite 1:1.3.8-1
graphviz 2.38.0-11
grep 2.25-2
grilo 0.3.0-1
grilo-plugins 0.3.1-1
groff 1.22.3-6
grub 2.02.beta2-15
gsasl 1.8.0-6
