aerc 0.21.0-1
amazingmarvin-appimage 1.70.0-1
amdgpu_top 0.11.5-1
amdsmi 7.2.4-1
amd-ucode 20260810-2
ampcast-bin 0.9.29-1
auto-cpufreq 3.1.0-1
bandwhich 0.23.1-3
base 3-3
base-devel 1-2
bat 0.26.1-2
beets 2.13.1-1
bitwarden 2026.3.1-2
bitwarden-cli 2026.2.0-1
blueman 2.4.6-2
bluetui 0.8.1-2
bluez 5.87-2
bluez-utils 5.87-2
bottom 0.14.8-1
brightnessctl 0.5.1-3
broot 1.58.0-1
btop 1.4.7-1
btrfs-progs 7.1-1
calibre 9.13.0-3
cargo-nextest 0.9.143-1
cargo-tarpaulin 0.37.2-1
catppuccin-cursors-mocha 2.0.0-1
chromaprint 1.6.1-2
chromium 151.0.7922.173-1
claude-code 2.1.239-1
claude-desktop 1.32885.1-1
cliphist 1:0.7.0-2
converseen 0.15.2.7-1
cppcheck 2.21.1-1
cudd 3.0.0-3
ddgr 2.2-2
defuddle 0.18.1-1
discord 1:1.0.154-1
dnslookup-bin 1.12.0-1
dnsmasq 2.93-1
docker 1:29.7.2-1
docker-buildx 0.36.1-1
docker-compose 5.5.0-1
dolphin 26.08.0-1
doxygen 1.18.0-1
dsnote 4.8.4-1
duf 0.9.1-1
dunst 1.13.2-2
dust 1.2.5-1
efibootmgr 18-4
emacs-wayland 30.2-3
evince 1:48.4-1
evtest 1.36-1
eza 0.23.5-2
fastfetch 2.67.1-1
fd 10.4.2-2
feluda-bin 1.15.0-1
figlet 2.2.5-6
firefoxpwa 2.19.0-1
fprintd 1.94.5-2
freerdp 2:3.30.0-2
fwupd 2.1.7-1
fwupd-efi 1.8-2
gconf 3.2.6+11+g07808097-15
ghostty 1.3.1-2
ghostty-shell-integration 1.3.1-2
gimp 3.2.4-2
git 2.55.0-1
git-delta 0.19.2-2
github-cli 2.98.0-1
gnome-firmware 49.0-1
gnome-keyring 1:50.0-1
gparted 1.8.1-2
gpg-tui 0.11.2-1
gping 1.20.4-1
graphicsmagick 1.3.48-1
graphviz 16.0.0-1
grim 1.5.0-2
grub 2:2.14-1
gst-plugin-pipewire 1:1.6.8-1
handy 0.9.5-1
herdr 0.8.2-1
himalaya 2.1.0-1
hledger 1.52.1-51
htop 3.5.3-1
hugo 0.165.0-1
hyperfine 1.20.0-1
hypridle 0.1.8-1
hyprland 0.56.2-1
hyprlock 0.9.6-2
hyprpaper 0.8.4-6
hyprpicker 0.4.7-3
hyprpolkitagent 0.1.3-9
hyprshade 5.0.0-1
hyprshot 1.3.0-4
hyprsunset 0.4.0-3
iftop 1.0pre4-6
inetutils 2.8-1
inkscape 1.4.4-5
ispell 3.4.06-1
ispin 6.5.0-3
isync 1.5.1-2
iw 6.17-1
iwd 3.12-1
just 1.58.0-1
kitty 0.48.2-1
lazydocker 0.25.2-1
lazygit 0.64.1-1
lazytailscale-bin 1.0.2-1
libpulse 17.0+r98+gb096704c0-1
libreoffice-fresh 26.2.5-2
libxml2-legacy 2.13.9-2
linux 7.1.8.arch1-3
linux-firmware 20260810-2
localsend-bin 1.18.0-1
luarocks 3.13.0-5
man-db 2.13.1-2
mesa-utils 9.0.0-7
minisat 2.2.1.20201216-3
mkcert 1.4.4-3
mongodb-bin 8.3.4-1
mongodb-compass-bin 1.49.11-2
mongosh-bin 2.10.0-1
mpv 1:0.41.0-4
msmtp 1.8.34-1
nano 9.2-1
nautilus 50.2.2-1
neovim 0.12.4-1
nethogs 0.8.8-2
net-tools 2.10-3
network-manager-applet 1.36.0-2
nextcloud-client 2:34.0.2-1
nmap 7.991-1
noto-fonts 1:2026.08.01-1
ntfs-3g 2026.7.7-1
ntfsfixboot 1.0-4
nvtop 3.3.2-1
nwg-displays 0.4.3-1
nwg-look 1.1.1-3
obsidian 1.13.7-2
opencode 1.18.21-1
openresolv 3.17.4-1
openssh 10.5p1-1
otf-font-awesome 7.3.1-1
otf-overpass-nerd 3.5.1-1
paisa-bin 0.7.4-1
papers 50.2-1
pavucontrol 1:6.2-1
picard 2.13.3-3
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
polkit-kde-agent 6.7.4-1
power-profiles-daemon 0.30-1
python-huggingface-hub 1:1.28.0-1
python-pip 26.2.1-1
qrencode 4.1.1-4
qt5-wayland 5.15.19+kde+r55-1
qt6-wayland 6.11.2-1
quickshell 0.3.1-1
remmina 1:1.4.43-3
rocm-hip-sdk 7.2.4-1
rocm-opencl-runtime 7.2.4-1
rocm-smi-lib 7.2.0-2
rofi 2.0.0-1
rofi-rbw 1.6.1-1
rpi-imager 2.0.11.1-1
ruff 0.16.4-1
sassc 3.6.2-5
sd 1.1.0-1
sddm 0.21.0-7
sddm-silent-theme 1.5.0-1
shotwell 2:0.32.17-1
slurp 1.5.0-2
smartmontools 7.5-1
sof-firmware 2025.12.2-1
solaar 1.1.20-2
speech-dispatcher 0.12.1-3
speedtest-cli 2.1.3-10
spin 6.5.2-5
sshfs 3.7.6-1
sshs 4.7.2-1
starship 1.26.0-1
steam 1.0.0.87-1
stow 2.4.1-1
swaync 0.12.6-1
teams-for-linux 2.17.0-1
tesseract 5.5.3-1
texlive-bibtexextra 2026.1-1
texlive-binextra 2026.1-1
texlive-fontsrecommended 2026.1-1
texlive-latex 2026.1-1
texlive-latexextra 2026.1-1
texlive-latexrecommended 2026.1-1
thunderbird-bin 153.0.1-1
timeshift 25.12.4-1
tmux 3.7_c-1
tokei 14.0.0-1
trash-cli 0.24.5.26-3
tree 2.3.2-1
tree-sitter-cli 0.26.9-1
ttf-aptos 1.1-0
ttf-fira-code 6.2-4
ttf-firacode-nerd 3.5.1-1
ttf-fira-sans 1:4.301-3
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.5.1-1
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-common 3.4.0-1
ttf-nerd-fonts-symbols-mono 3.4.0-1
ttf-noto-nerd 3.5.1-1
ttf-twemoji 17.0.2-3
uhk-agent-appimage 10.1.0-1
unrealtournament4 3525360-1
unrealtournament 469e-1
usbutils 019-1
ut2004-bin 3374-7
uv 0.12.5-1
uwsm 0.26.6-1
vim 9.2.0849-1
visual-studio-code-bin 1.134.0-1
vlc 3.0.23_2-10
vocalinux 0.15.0-1
voxtype-bin 0.7.5-1
vulkan-radeon 1:26.1.8-1
vulture 2.16-1
w3m 0.5.6-1
waybar 0.15.0-2
wget 1.25.0-6
wireguard-tools 1.0.20260223-1
wireless_tools 30.pre9-5
wireplumber 0.5.15-1
wlogout 1.2.2-0
wofi 1.5.3-1
wpa_supplicant 2:2.12-1
wttrbar 0.15.0-1
xclip 0.13-6
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.4.1-1
xdg-desktop-portal-wlr 0.8.2-1
xdg-utils 1.2.1-2
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-3
xorg-server 21.1.24-1
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
yay 13.0.1-1
